number,created_at,title,labels
47666,2026-04-13T23:38:11Z,Bash tool: git add with multiple paths silently runs in background and holds index.lock indefinitely,bug|has repro|platform:macos|area:bash|area:sandbox
47665,2026-04-13T23:35:24Z,[CLOSED - posted prematurely],bug|has repro|platform:macos|area:tools|area:model|area:agents
47655,2026-04-13T23:07:31Z,Telegram plugin: frequent HTTP 401 errors mid-session,bug|platform:macos|area:auth|area:plugins
47647,2026-04-13T22:57:19Z,"claude auth status reports subscriptionType: ""pro"" for Max subscribers",bug|platform:linux|area:auth
47639,2026-04-13T22:50:22Z,[FEATURE] Claude Cowork - Scheduled task run history entries should display timestamp instead of repeating task name,enhancement|area:cowork|area:ui
47613,2026-04-13T22:15:00Z,[Bug] Bash(pattern:*) in --allowedTools/--tools does not restrict commands,bug|has repro|platform:macos|area:bash|area:permissions
47610,2026-04-13T21:56:23Z,Duplicate - please disregard,bug|has repro|platform:windows|area:mcp|area:desktop
47582,2026-04-13T20:14:34Z,[BUG] Worktree sessions are showing all sessions,bug|has repro|platform:linux|area:tui|regression
47566,2026-04-13T19:22:25Z,"[DOCS] Changelog shows 2.1.101 as most recent, but Claude Code today is running 2.1.104",documentation|enhancement|area:docs
47563,2026-04-13T19:14:00Z,"[FEATURE] Inconsistent diff preview behavior across workspaces in VS Code with the same settings, user needs to be able to choose",enhancement|area:ide|platform:vscode
47557,2026-04-13T18:46:50Z,Ctrl+O to expand execution re-triggers answered /btw query,bug|area:tui
47545,2026-04-13T18:27:01Z,PWA: Cannot approve/deny permission prompts (Allow/Deny buttons missing),bug|area:claude-code-web|platform:web|area:permissions
47521,2026-04-13T17:25:25Z,[BUG] Scheduled trigger fails with github_repo_access_denied for private repos despite GitHub connector being connected,bug|has repro|area:auth|area:agents|api:anthropic
47505,2026-04-13T16:30:57Z,"Claude is working much slower, small tokens limit",bug|platform:windows|area:api
47504,2026-04-13T16:26:25Z,Deleted,bug|platform:macos|area:tui|area:agents
47497,2026-04-13T16:19:10Z,"[BUG] Cowork: ""Delete Cowork VM Sessions and Restart"" zeroes data blocks and destroys all sessions, plugins, skills, and scheduled tasks",bug|platform:windows|area:cowork|data-loss
47491,2026-04-13T16:08:43Z,API Error 500 at ~175K context — 1M window not active on Max plan (Opus 4.6),bug|platform:linux|area:api
47473,2026-04-13T15:44:15Z,[Bug] Anthropic API Error: Unexpected 500 Server Errors,bug|platform:windows|platform:vscode|api:anthropic
47468,2026-04-13T15:42:01Z,[Bug] Anthropic API Error: Internal Server Error (500),bug|platform:linux|api:anthropic
47446,2026-04-13T15:39:08Z,[Bug] Intermittent API 500 error with version fetch/network failures and file read errors in Claude Code 2.1.104 on macOS,
47441,2026-04-13T15:38:25Z,[Bug] Internal Server Error from Anthropic API,bug|platform:macos|external|area:api
47437,2026-04-13T15:36:37Z,"API Error: 500 {""type"":""error"",""error"":{""type"":""api_error"",""...",
47430,2026-04-13T15:35:12Z,[Bug] Claude Code CLI Not Functioning,bug|platform:linux|external|area:api|api:anthropic
47415,2026-04-13T14:38:35Z,[BUG] non-ASCII string parameters for remote MCP servers are converted to null,bug|platform:macos|area:mcp
47414,2026-04-13T14:37:43Z,Windows Desktop App: Remote MCP OAuth callback not completing (tools show 'Not connected' after successful authorization),bug|platform:windows|area:auth|area:mcp|area:desktop
47406,2026-04-13T14:18:06Z,claude.ai Linear MCP: Authorization fails after reconnecting connector,bug|platform:macos|area:auth|area:mcp
47404,2026-04-13T14:11:38Z,[BUG] /compact no longer clears conversation window — scroll indicator unusable as context gauge,bug|platform:windows|area:tui|area:core|regression
47386,2026-04-13T13:15:50Z,"ExitWorktree with action: ""remove"" reports success but leaves worktree directory and branch on disk",bug|has repro|platform:macos|area:tools
47379,2026-04-13T12:55:07Z,"Session replays entire conversation autonomously on Windows — banner reappears, prompts re-execute without user input",bug|has repro|platform:windows|area:core|regression
47377,2026-04-13T12:52:44Z,"[BUG] Session rating prompt (""How is Claude doing this session?"") forwards answer to model context instead of telemetry",bug|platform:linux|area:tui
47364,2026-04-13T12:27:45Z,SHIFT+Enter does not insert newline in Claude Code,bug|duplicate|platform:macos|area:tui
47361,2026-04-13T12:20:46Z,feat: Test Data Management for domain-specific test data,
47349,2026-04-13T11:59:09Z,"Feature: Capability profiles — selectively load agents, skills, and commands per session",enhancement|area:agents|area:cli|area:skills
47321,2026-04-13T10:53:03Z,Claude repeatedly assured keychain code was correct despite fundamental flaw,bug|area:model
47312,2026-04-13T10:30:47Z,[FEATURE] Backward-kill-word (Ctrl+Backspace) action for chat input,enhancement|area:tui|keybindings
47308,2026-04-13T10:23:27Z,[Bug] Anthropic API: Unexpected charges for Opus 1M context window on MAX plan,bug|platform:macos|area:cost|platform:vscode
47297,2026-04-13T09:28:13Z,"[BUG] VSCode: ""Thought for xxs"" timer increments on expand/collapse toggle",bug|has repro|platform:macos|area:ide|platform:vscode
47289,2026-04-13T09:09:43Z,Collaborator Canvas: links are not clickable / cannot open URLs,bug|platform:macos|area:tui
47281,2026-04-13T08:47:12Z,[Bug] Export functionality fails when attempting both clipboard and file output simultaneously,bug|platform:macos|area:cli
47256,2026-04-13T07:53:00Z,Max Plan Gift Subscription Silently Downgraded to Free After 4 Days — Support Unresponsive for 8+ Days,invalid
47231,2026-04-13T06:22:44Z,Token usage increased significantly — same 00 budget does far less work,bug|platform:windows|area:cost
47230,2026-04-13T06:14:27Z,"[BUG] Welcome screen ""Recent activity"" never shows sessions after release notes are read",bug|has repro|platform:macos|area:tui
47224,2026-04-13T05:56:19Z,You're out of extra usage · resets 5pm (Asia/Makassar),duplicate|platform:macos|area:cost|platform:vscode
47201,2026-04-13T04:37:46Z,"[BUG] When prompted for permission, #2 changes meaning between 1) Yes 2) Yes Always 3) No and 1) Yes 2) No",bug|platform:windows|area:tui|user-experience|area:permissions
47197,2026-04-13T04:21:24Z,[BUG] /rename session name is lost after process exit — /resume from new terminal shows first message instead of session   name,bug|platform:windows|area:core
47189,2026-04-13T03:34:42Z,[BUG] Write fails with file_path and content missing,bug|duplicate|platform:macos|area:tools
47162,2026-04-13T02:09:05Z,[Feature Request] Auto-rename sessions based on first message content,enhancement|platform:macos|area:tui
47155,2026-04-13T01:17:29Z,[BUG]  RemoteTrigger tool returns HTTP 401 despite valid authentication,bug|platform:windows|area:auth|area:agents|api:anthropic
47138,2026-04-13T00:03:16Z,[Bug] Bash commands not executing - unclear error messaging for environment issues,bug|platform:macos|area:bash|needs-repro
47133,2026-04-12T23:26:49Z,Preview tool cuts bottom of viewport in tablet/mobile simulation,bug|platform:windows|area:mcp
47131,2026-04-12T23:25:35Z,[Bug] /config command hangs on second invocation,duplicate|platform:linux|area:tui
47103,2026-04-12T20:15:11Z,Interactive stdin prompts don't work in Bash tool (e.g. gh secret set),bug|platform:windows|area:bash
47095,2026-04-12T19:54:03Z,[Bug] Web search tool searches for 'undefined' instead of query string,bug|platform:windows|area:tools|platform:vscode
47088,2026-04-12T19:31:31Z,"claude plugin install for source: github plugins requires SSH, undocumented; HTTPS fallback missing",bug|documentation|platform:macos|area:plugins
47039,2026-04-12T16:33:30Z,"[BUG] vm_bundles/claudevm.bundle consumes ~10 GB on macOS, destroying available disk space",bug|platform:macos|area:sandbox
47027,2026-04-12T15:51:51Z,[Bug] Malware check prompts causing rapid quota exhaustion and code analysis refusals,bug|platform:linux|area:cost|area:core|area:security
47025,2026-04-12T15:32:09Z,[Feature Request] Option to disable cutesy status messages,enhancement|platform:macos|area:statusline
47000,2026-04-12T14:01:13Z,Remote Control not auto-restored after mid-session re-login (even with 'enable for all sessions' on),bug|has repro|platform:linux|area:auth
46988,2026-04-12T13:17:00Z,Model reasons past PreToolUse deny based on conversation context (semantic bypass),bug|has repro|platform:linux|area:model|area:security|area:hooks
46985,2026-04-12T13:10:10Z,Bash tool cwd forced to `/` when claude CLI is spawned from a non-shell parent in stream-json mode,bug|has repro|platform:macos|area:bash|area:agent-sdk
46981,2026-04-12T13:06:44Z,Terminal resize causes duplicate UI frames,bug|duplicate|platform:macos|area:tui
46976,2026-04-12T12:36:56Z,[FEATURE] Limit batch jobs to for example 25% of subscription tokens and using to extra tokens,enhancement|area:cost
46975,2026-04-12T12:34:47Z,Windows: background agent .output files always 0 bytes (symlink fallback),bug|has repro|platform:windows|area:agents
46963,2026-04-12T11:45:02Z,Allow configurable .claude/ directory location (support parent directory),enhancement|area:core
46939,2026-04-12T09:59:56Z,Cowork Cloud: persistent useradd failed exit status 12 — cannot create sessions for days,bug|platform:macos|area:cowork
46934,2026-04-12T09:43:16Z,enabledPlugins version constraints (array format) don't work,bug|has repro|area:plugins
46931,2026-04-12T09:35:55Z,[BUG] Memory leak: Claude Code RSS grows from 500MB to 4.6GB+ within minutes,bug|duplicate|has repro|platform:linux|perf:memory
46926,2026-04-12T09:00:27Z,"[BUG] `type: ""agent""` hooks broken on PreToolUse— ""Messages are required for agent hooks""",bug|duplicate|has repro|platform:macos|area:hooks
46904,2026-04-12T07:22:52Z,[Bug] Statusline command triggers unexpected file search and premature auto-compact at 160k tokens,bug|platform:macos|area:statusline
46898,2026-04-12T06:55:53Z,TUI rendering leaves stale characters at row edges during partial screen updates,bug|has repro|platform:windows|area:tui
46886,2026-04-12T06:04:10Z,Claude in Chrome extension stops connecting spontaneously — MCP shows connected but extension reports not connected,bug|duplicate|platform:windows|area:mcp|area:chrome
46885,2026-04-12T06:01:32Z,Claude in Chrome extension stops connecting spontaneously — MCP connected but extension reports not connected,bug|platform:windows|area:mcp|area:chrome
46880,2026-04-12T05:25:22Z,Allow hooks or tools to set session title programmatically,duplicate|area:hooks
46879,2026-04-12T05:22:34Z,"Streamable HTTP MCP: auth requirement should be based on 401 response, not well-known endpoint discovery",bug|area:auth|area:mcp
46873,2026-04-12T05:05:51Z,/config freezes on second invocation in same session,duplicate|platform:macos|area:tui
46865,2026-04-12T03:51:25Z,Add setting to filter /resume picker by current project directory,enhancement|area:tui
46852,2026-04-12T03:13:32Z,"[Bug] Session identity broken for multi-agent worktree workflows — naming, filtering, resume, remote-control",bug|has repro|area:tui|area:agents
46839,2026-04-12T02:39:01Z,Desktop app freezes when opening right sidebar panel,bug|platform:windows|area:ui|area:desktop
46835,2026-04-12T02:15:35Z,"[BUG] `claude mcp add --transport streamable-http` fails with ""Invalid transport type"" error",bug|has repro|platform:macos|area:mcp
46829,2026-04-12T01:49:09Z,"Cache TTL silently regressed from 1h to 5m around early March 2026, causing quota and cost inflation",bug|has repro|area:cost|api:anthropic
46827,2026-04-12T01:44:07Z,[Bug] /config command causes lockup on second execution after exit config menu,bug|platform:macos|area:tui
46825,2026-04-12T01:13:15Z,[Bug] AskUserQuestion overlays previous Claude response text,bug|platform:windows|area:tui
46816,2026-04-12T00:39:41Z,[Bug] Claude model exhibits persistent reasoning bias and fails to accept contradicting information,bug|platform:windows|area:model|needs-repro
46811,2026-04-12T00:02:59Z,[Bug] Content filtering incorrectly blocks country names and flags in output,bug|duplicate|platform:linux|external|area:api
46785,2026-04-11T21:40:12Z,Bash permission matcher fails on commands with shell brace expansion,bug|has repro|platform:macos|area:bash|area:permissions
46784,2026-04-11T21:39:24Z,/resume shows sessions from all directories instead of current directory (regression in 2.1.98-2.1.101),bug|has repro|platform:linux|regression|area:cli
46782,2026-04-11T21:16:17Z,[Bug] Claude 3 Opus Model Performance Degradation,bug|platform:macos|area:model|platform:vscode|needs-repro
46778,2026-04-11T21:11:13Z,Expose active agent & background task counts in statusline JSON,enhancement|area:agents|area:statusline
46774,2026-04-11T21:01:42Z,Safety: /resume shows sessions from all directories — risk of modifying wrong project,enhancement|area:cli
46773,2026-04-11T21:00:20Z,Stats view does not track/display Opus 4.6 usage,bug|platform:macos|area:tui
46772,2026-04-11T20:47:59Z,[Bug] Claude exhibits condescending and judgmental tone in responses,bug|platform:macos|area:model|platform:vscode
46771,2026-04-11T20:47:58Z,[BUG] An unexpected error occurred while setting up the git_repository source.,bug|platform:macos|area:claude-code-web|platform:web
46769,2026-04-11T20:45:11Z,[MODEL] Claude fabricated infrastructure verification — committed false claims that multi-node cluster was built,bug|area:model|model|api:anthropic
46764,2026-04-11T20:32:40Z,[BUG] Cowork fails with Plan9 share 'h' HRESULT 0x80070005 - MSIX install + OneDrive reparse points (Windows 11 Pro),bug|duplicate|platform:windows|area:cowork|area:desktop
46752,2026-04-11T19:34:03Z,/resume command no longer filters conversations by current directory,bug|has repro|platform:linux|area:cli
46749,2026-04-11T19:11:13Z,[Bug] Rewind/Compact prevents re-reading unchanged files removed from context,duplicate|platform:linux|area:tools
46730,2026-04-11T17:54:14Z,Transcript viewer: add feedback after saving with 's' — currently looks half-broken,enhancement|platform:macos|area:tui
46718,2026-04-11T17:05:45Z,[BUG] Notification hook does not fire in VS Code/Cursor extension when Claude asks for user input,duplicate|platform:macos|platform:vscode|area:hooks
46717,2026-04-11T17:03:03Z,[Bug] Anthropic API Error: Invalid JSON - malformed surrogate in request body,bug|duplicate|platform:macos|area:core|area:api
46712,2026-04-11T16:54:28Z,Edit tool corrupts multi-byte UTF-8 characters at replacement string boundary,bug|has repro|platform:macos|area:tools
46706,2026-04-11T16:40:50Z,"macOS: Image paste prompt shows Control+V instead of Command+V, and Command+V doesn't work",bug|platform:macos|area:tui
46699,2026-04-11T16:13:42Z,.claudeignore is not respected by Glob/Grep tools — only affects auto-context loading,bug|duplicate|platform:macos|area:tools|area:core
46659,2026-04-11T13:49:18Z,Built-in computer-use MCP server disappeared from /mcp list,bug|platform:macos|area:mcp
46644,2026-04-11T12:56:48Z,[FEATURE] Auto-memory writes invalidate entire prompt cache chain — MEMORY.md should not sit in cache-sensitive prefix,enhancement|area:cost|memory
46636,2026-04-11T12:26:33Z,"[Bug] UI feels stuck during long file writes or MCP uses, token counter unresponsive",bug|platform:macos|area:tui|area:mcp
46635,2026-04-11T12:16:20Z,[Regression since v2.1.89] Max subscription severely degraded — external pay-per-token providers unaffected,bug|platform:macos|regression|performance|area:providers
46630,2026-04-11T11:59:50Z,Claude caused multi-hour runaround on simple 2-line fix for live product,duplicate|platform:macos|area:model
46624,2026-04-11T11:36:59Z,"Claude overwrote notarized DMG with unnotarized build, no awareness of distribution pipeline",bug|platform:macos|area:tools|area:model
46622,2026-04-11T11:11:12Z,"[BUG] v2.1.101 /resume regression: default view shows all projects, current-project filter shows empty, wrong messages displayed",bug|has repro|platform:linux|area:core|regression
46604,2026-04-11T10:04:44Z,"I cannot create a GitHub issue title from this submission.

This message is not a bug report for Claude Code (Anthropic's CLI coding tool). It appears to be a personal security/identity theft incident involving AT&T account access and SIM swapping, mixed w",invalid
46596,2026-04-11T09:22:48Z,[BUG] /export has completely stopped working,duplicate
46594,2026-04-11T09:17:23Z,[BUG] /plugin marketplace update silently fails to upgrade installed plugin — no error when skills don't load,duplicate
46593,2026-04-11T09:16:27Z,[BUG] Claude Code (Desktop) fails to launch on Windows 11 Pro 25H2 (Build 26200.8037),invalid
46592,2026-04-11T09:10:50Z,Gmail MCP regression: create_draft tool dropped threadId parameter — cannot create in-thread reply drafts,duplicate
46591,2026-04-11T09:10:06Z,Images in conversation are too compressed for pixel-level CSS matching tasks,duplicate
46589,2026-04-11T09:03:12Z,[BUG] Skill frontmatter model field ignored in VSCode Extension (works in CLI),duplicate
46587,2026-04-11T08:59:24Z,[VS Code] Renamed session titles occasionally revert on startup,duplicate
46586,2026-04-11T08:58:12Z,[BUG] Project Path Case Sensitivity Causes MCP Configuration Conflict in Claude Code on Windows,duplicate
46585,2026-04-11T08:53:11Z,"Sandbox creates empty ~/.bash_profile in $HOME, breaks login shell PATH",duplicate
46581,2026-04-11T08:50:04Z,[BUG] Edit permission in settings.local.json not respected - confirmation dialog still appears,bug|duplicate|platform:windows|platform:vscode|area:permissions
46578,2026-04-11T08:34:42Z,Feature request: Localization (i18n) support for extension UI — Japanese,duplicate
46576,2026-04-11T08:24:58Z,[Bug] Memory leak in agent execution causes rapid RAM exhaustion,bug|platform:linux|perf:memory
46574,2026-04-11T08:18:46Z,Desktop UI shows 'main' branch instead of worktree branch after EnterWorktree,duplicate
46573,2026-04-11T08:12:55Z,[Bug] Rate limit consumption unexpectedly high for Claude Code CLI,duplicate
46572,2026-04-11T08:12:47Z,You've hit your limit · resets 12pm (Europe/London) NOT A DUPLICATE !!!!!!,duplicate
46571,2026-04-11T08:07:42Z,Dark mode: AskUserQuestion title text is black and unreadable,duplicate
46570,2026-04-11T08:01:22Z,Claude in Chrome extension not connecting to Claude Code desktop app (Windows 11),duplicate
46568,2026-04-11T08:00:23Z,You've hit your limit · resets 12pm (Europe/London),duplicate
46566,2026-04-11T07:55:47Z,Plugin cache accumulates orphaned `temp_git_*` clones after installs/updates,duplicate
46565,2026-04-11T07:55:43Z,[FEATURE] Shared memory between Claude Code and   Claude.ai web conversations.,duplicate
46563,2026-04-11T07:43:01Z,"[BUG] Bug Report: Claude Desktop enters runaway tools/list polling loop, causing MCP disconnection",invalid
46562,2026-04-11T07:40:11Z,[BUG] need to install Claude Github app not working --> infinite loop,duplicate
46559,2026-04-11T07:25:55Z,"I appreciate you sharing this, but I think there's been a misunderstanding about what I am.

I'm Claude Code—a technical CLI tool for interacting with Claude the AI assistant. The prompt you're responding to is a template for generating GitHub issue titles",
46558,2026-04-11T07:16:32Z,"[BUG] Editing files in Main folder of the repo, instead of Worktree",duplicate
46556,2026-04-11T07:05:54Z,[BUG] `/context` header token usage doesn't include Autocompact buffer,duplicate
46555,2026-04-11T07:02:09Z,"Statusline JSON: expose /context's conceptual token count (Messages-sum), not just API-billed used_percentage",duplicate
46551,2026-04-11T06:27:32Z,iMessage plugin: notifications/claude/channel not delivered to conversation,duplicate
46549,2026-04-11T06:20:04Z,[FEATURE] Setting to persist default --resume picker scope per user,enhancement|platform:macos|area:tui
46547,2026-04-11T06:03:32Z,Bash tool drops `cd` prefix from `command` parameter while text output correctly includes it,bug|has repro|platform:macos|area:model|area:bash
46545,2026-04-11T06:01:20Z,[BUG] /resume now includes sessions from all projects,bug|platform:linux|area:tui
46543,2026-04-11T05:57:32Z,[FEATURE]  @ file picker should support browsing into nested git repositories,enhancement|area:tui
46542,2026-04-11T05:46:32Z,[Bug] Usage limits silently reduced without notification,duplicate
46537,2026-04-11T05:22:25Z,[BUG],duplicate
46535,2026-04-11T05:12:14Z,Remote Control: session creation fails with 400 when git repo has remote origin URL,bug|has repro|platform:macos|regression
46534,2026-04-11T05:03:48Z,Cowork scheduled tasks fail with EXDEV on Windows when Documents folder is on a different drive,duplicate
46533,2026-04-11T04:59:19Z,[BUG] Stale MCP Session ID Cached Permanently,duplicate
46526,2026-04-11T04:22:18Z,Token efficiency: system prompt overhead consumes too much of the context window,duplicate
46525,2026-04-11T04:19:28Z,[Bug] Non-Opus models consume tokens when only Opus 4.6 specified,duplicate
46521,2026-04-11T04:06:28Z,[FEATURE] suppress Edit/Write tool diff rendering,duplicate
46518,2026-04-11T04:00:53Z,"Opus 4.6 / Agent over-engineers small UI fix, burns ~1hr of tokens through redundant subagent delegations",duplicate
46516,2026-04-11T03:53:57Z,"[BUG] Claude Cowork not working on Windows ARM64 (Snapdragon X Plus Surface) - tried everything, still getting VM timeout",duplicate
46515,2026-04-11T03:37:37Z,AskUserQuestion tool fails silently on Windows 11 — shows 'Answer questions?' instead of interactive prompt,duplicate
46513,2026-04-11T03:34:54Z,Bug: Haiku 4.5 blocks advisor despite blog claiming Haiku+Opus advisor support,duplicate
46508,2026-04-11T03:00:30Z,Add active_skill/command context to Stop hook stdin,duplicate
46506,2026-04-11T02:51:39Z,[BUG] Windows 11 - claude.exe hangs indefinitely due to CRYPT_E_NO_REVOCATION_CHECK schannel TLS error,duplicate
46505,2026-04-11T02:50:56Z,Feature: expose effort level in statusline JSON schema,duplicate
46504,2026-04-11T02:45:01Z,Channel MCP plugin: orphan process after server restart causes silent message loss,duplicate
46503,2026-04-11T02:43:43Z,[BUG] Desktop app blocks all LAN/private IP network access (regression),duplicate
46500,2026-04-11T02:28:11Z,"[BUG] Phantom messages appearing as ""Human:"" input that the user did not send",duplicate
46498,2026-04-11T02:10:32Z,Cloud session uses stale .seed.bundle — repo not refreshed between sessions,duplicate
46497,2026-04-11T02:10:10Z,[Bug] Dispatch functionality not working across multiple devices (iPhone and Mac),duplicate
46496,2026-04-11T02:07:23Z,Show per-action token usage in CLI output,duplicate
46495,2026-04-11T02:06:25Z,[BUG] Claude in Chrome: moneyforward.com blocked by internal domain blocklist,duplicate
46487,2026-04-11T01:29:55Z,"[BUG] Cowork VM connection timeout on Windows 11 Home — worked previously, broke after update to v1.1617.0.0",duplicate
46486,2026-04-11T01:28:15Z,PowerShell output displays garbled text on Windows when system codepage is Big5 (950),duplicate
46484,2026-04-11T01:20:58Z,[FEATURE] Persistent Workbench Pane Alongside Chat — keep task activity out of the conversation,duplicate
46483,2026-04-11T01:15:58Z,"[BUG] Claude Desktop (Windows) uses prevent-display-sleep instead of prevent-app-suspension, preventing monitor from turning off",duplicate
46482,2026-04-11T01:12:43Z,EBUSY file lock error on Windows when multiple sessions write to .claude.json,duplicate
46481,2026-04-11T01:12:22Z,EBUSY: concurrent instances race on .claude.json (Windows),duplicate
46474,2026-04-11T00:19:16Z,Feature request: Pin/star sessions for quick access,duplicate
46469,2026-04-11T00:06:55Z,"Plugin marketplace: empty clones, stale cache not refreshing, broken update/delete",duplicate
46468,2026-04-11T00:06:43Z,PostToolUse hook: exit code 2 does not block or undo the preceding write,duplicate
46467,2026-04-10T23:59:19Z,[BUG] Status line renders raw ANSI escape code \033[0m after cost value,duplicate
46466,2026-04-10T23:58:37Z,[BUG] Status line cost counter resets on context compaction — undercounts session cost,duplicate
46459,2026-04-10T23:36:21Z,[BUG] Missing Tools should be surfaced as a hard blocker,duplicate
