number,created_at,title,labels
48089,2026-04-14T20:00:33Z,[DOCS] Troubleshooting docs omit server-error guidance and usage-vs-rate-limit distinction,documentation|enhancement|area:docs
48088,2026-04-14T19:59:31Z,[DOCS] `/resume` picker docs are outdated on current-directory default and `Ctrl+A` toggle,bug|documentation|area:docs
48087,2026-04-14T19:58:29Z,[DOCS] `/model` docs omit the uncached full-history warning for mid-conversation switches,documentation|enhancement|area:cost|area:model
48086,2026-04-14T19:57:28Z,[DOCS] Rewind command docs omit `/undo` alias,documentation|enhancement|area:docs
48085,2026-04-14T19:56:26Z,[DOCS] Skill tool docs still say built-in slash commands cannot be invoked,bug|documentation|area:docs
48084,2026-04-14T19:55:25Z,[DOCS] Session resumption docs missing /recap command and away-summary controls,documentation|enhancement|area:docs
48083,2026-04-14T19:54:31Z,[BUG] Write tool no longer shows diffs in verbose mode,bug|area:tui
48082,2026-04-14T19:54:22Z,[DOCS] Prompt caching TTL env var docs omit generic 1-hour and forced 5-minute controls,documentation|enhancement|area:docs
48081,2026-04-14T19:53:11Z,Plugins: deferred tools (AskUserQuestion) unavailable in skill context — need preload-tools frontmatter,enhancement|area:skills|area:plugins
48080,2026-04-14T19:52:35Z,"cc -w flag converts '/' to '+' in worktree path, fails to enter nested worktrees",
48079,2026-04-14T19:52:02Z,[BUG] 401 Authentication Error — OAuth token rejected on all servers despite valid Max 20x subscription,bug|platform:linux|area:auth
48078,2026-04-14T19:49:49Z,"[BUG] ""Run on Startup"" toggle cannot be turned off",bug|platform:windows|area:desktop
48077,2026-04-14T19:41:38Z,Screenshot temp paths no longer readable after v2.1.108 update,bug|has repro|platform:macos|area:tools
48076,2026-04-14T19:37:57Z,[Feature Request] `--resume` flag should limit sessions to current directory,duplicate|area:cli
48075,2026-04-14T19:35:29Z,"[BUG] After updating Claude Code to v2.1.100, all conversations from today  disappeared from the UI.",bug|platform:macos|regression|area:ui|area:desktop
48074,2026-04-14T19:33:10Z,[Bug] Claude 4.6 Opus high effort degraded reasoning and web search behavior in problem-solving tasks,bug|platform:windows|area:model|area:cowork
48073,2026-04-14T19:22:31Z,Extra usage being charged for Opus 4.6 1M on Max plan when session/weekly limits well <60%,bug|area:cost|platform:vscode
48072,2026-04-14T19:16:37Z,[DOCS] Be transparent and truthful in your featuers availablitly,documentation|enhancement|area:docs
48071,2026-04-14T19:14:06Z,"[BUG]  Inline plugin skill content not delivered after /clear — ""Successfully loaded skill"" but no instructions",bug|has repro|platform:linux|area:skills|area:plugins
48070,2026-04-14T19:07:43Z,[BUG]CloudCode started consuming 3-5 times more tokens for the same actions,duplicate|area:cost|area:model
48069,2026-04-14T19:06:32Z,"[BUG] Claude Code CLI v2.1.107 exits silently after brief idle — new regression, macOS",bug|has repro|platform:macos|regression|area:cli
48068,2026-04-14T19:00:40Z,False positive PATH warning on Windows: .local/bin already in PATH,bug|has repro|platform:windows|area:installation
48067,2026-04-14T19:00:03Z,"[Bug] Claude fails to analyze codebase before applying fixes, ignores instructions",bug|platform:macos|area:model
48066,2026-04-14T18:58:43Z,"[BUG] defaultMode ""plan"" blocks entire session with ""Auto mode is unavailable for your plan""",bug|duplicate|platform:windows|area:permissions
48065,2026-04-14T18:57:16Z,[Bug] Thinking summaries not displayed when `showThinkingSummaries` enabled in settings.json,bug|platform:macos|area:tui
48064,2026-04-14T18:55:21Z,"[FEATURE] register an ""explain selection"" command in the vscode extension",enhancement|area:ide|platform:vscode
48063,2026-04-14T18:53:45Z,Bug Report — claude-sonnet-4-6 — Systematic Behavioral Degradation in Long Sessions,bug|platform:macos|area:model|platform:vscode
48062,2026-04-14T18:46:21Z,[BUG] All paste methods fail silently during OAuth prompt only,duplicate|area:tui|area:auth|platform:wsl
48061,2026-04-14T18:42:49Z,[Bug] Token exhaustion causes CLI freeze without task completion,bug|platform:macos|area:core|area:mcp
48060,2026-04-14T18:41:40Z,[Bug] Claude Code not following claude.md directives and authorization guidelines,bug|platform:macos|area:model|needs-repro
48059,2026-04-14T18:34:17Z,"[Bug] Model reliability regression: overclaiming completion, silent deferral, and unverified fixes in Claude Code",bug|platform:macos|area:model|memory
48058,2026-04-14T18:32:49Z,"Sandbox breaks TLS for Go binaries using macOS Security.framework (gh, brew, etc.)",bug|duplicate|platform:macos|area:sandbox
48057,2026-04-14T18:32:41Z,OAuth code input blocks paste,duplicate|area:tui|area:auth
48056,2026-04-14T18:32:02Z,[BUG] Managed Agents bash tool crashes with tmux timeout in cloud container,bug|area:bash|area:agents|api:anthropic
48055,2026-04-14T18:29:50Z,[BUG] Claude Desktop install causes Windows 10 Task Manager to crash when switching to More details,bug|invalid
48054,2026-04-14T18:29:16Z,[Bug] Session token percentage increases unexpectedly after single request with multi-file modifications,question|platform:macos|area:cost
48053,2026-04-14T18:28:49Z,"CLAUDE.md not loaded when vault path differs from session cwd — no warning, no override setting",enhancement|area:core
48052,2026-04-14T18:28:43Z,Opus 4.6 reasoning regression: fails simple file access tasks that Haiku handles correctly,bug|area:model
48051,2026-04-14T18:28:43Z,"[BUG] effortLevel: ""max"" in settings.json appears to run as medium",bug|platform:macos|area:model
48050,2026-04-14T18:19:39Z,"System prompt size tripled after update to v2.1.101, causing 3x faster quota consumption",duplicate|platform:windows|area:cost|area:core
48048,2026-04-14T18:19:19Z,Claude Code OAuth flow broken over SSH — cannot paste auth code,bug|platform:linux|area:auth
48047,2026-04-14T18:18:29Z,BUG Cowork shows HYPERVISOR_SERVICE_ERROR on Windows 11 Pro,bug|platform:windows|area:cowork
48045,2026-04-14T18:13:46Z,Desktop app (Windows): background sessions pause and timer resets when switching to another session,bug|platform:windows|area:desktop
48043,2026-04-14T18:09:51Z,[BUG] # VirtioFS deadlock (errno 35) in Claude Desktop cowork sessions — files unreadable after first access,bug|has repro|platform:macos|area:cowork
48042,2026-04-14T18:04:50Z,Feature Request: Inference-health signal for power-user workflows (extends #42796),enhancement|area:api
48041,2026-04-14T17:57:51Z,Commercial spam pattern by @junaidtitan (Junaid Q / Ruya-AI) across 50+ claude-code issues,question
48038,2026-04-14T17:47:52Z,[BUG] [BUG] Claude Desktop fails to open on Windows 10 — EBUSY on chrome-native-host.exe,bug|platform:windows|area:desktop
48037,2026-04-14T17:47:35Z,Copying text from terminal output includes hard line breaks at every wrapped line,duplicate|area:tui
48036,2026-04-14T17:46:18Z,AskUserQuestion dialog doesn't support vim keybindings,bug|area:tui
48035,2026-04-14T17:43:54Z,[Feature Request] Option to disable Claude tagline in auto-generated commit messages,enhancement|platform:linux
48033,2026-04-14T17:42:36Z,OSC 52 clipboard writes should include PRIMARY selection (`p`) on Linux,enhancement|platform:linux|area:tui
48032,2026-04-14T17:39:00Z,[BUG] Ultraplan issue: API Error - Stream idle timeout - partial response received,duplicate|platform:macos|api:anthropic
48031,2026-04-14T17:35:17Z,[Bug] Setting CLAUDE_CODE_DISABLE_ATTACHMENTS=1 also disables auto-injection of CLAUDE.md files in subdirectories,bug|has repro|platform:macos|area:core|memory
48030,2026-04-14T17:34:55Z,"Claude builds features and UI without user input, acts on misunderstandings instead of confirming",bug|platform:macos|area:model
48029,2026-04-14T17:34:36Z,Claude jumps to implementing fixes without diagnosis or user approval (Troubleshooting Protocol ignored),bug|platform:macos|area:model
48028,2026-04-14T17:34:15Z,"Claude loses in-session context at low utilization, forgets recent decisions and instructions",bug|platform:macos|area:model
48027,2026-04-14T17:33:59Z,"Claude claims fixes work without testing, ships broken code to user",bug|platform:macos|area:model
48026,2026-04-14T17:33:57Z,"Claude systematically skips CLAUDE.md review gates, rationalizes when caught",bug|platform:macos|area:model|area:core
48025,2026-04-14T17:32:28Z,Allow users to control session retention (disable automatic pruning),enhancement|platform:macos|area:core
48024,2026-04-14T17:32:22Z,Ultraplan teleport: refined plan does not return to originating CLI session,bug|has repro|platform:macos|area:cowork|area:cli
48023,2026-04-14T17:31:26Z,[BUG] keybindings.json presence causes input to not clear after submit; keybinding actions ignored,duplicate|platform:macos|area:tui|keybindings
48022,2026-04-14T17:27:31Z,Disabled plugin still appears in available skills and can be invoked,bug|area:skills|area:plugins
48021,2026-04-14T17:26:56Z,[FEATURE] Regression: built-in Google Calendar MCP lost colorId support in update_event (tool renamed from gcal_update_event),enhancement|area:mcp
48020,2026-04-14T17:21:34Z,[Bug] Frontend Dev session crashes and hangs indefinitely,bug|platform:windows|area:core
48018,2026-04-14T17:16:07Z,[BUG] Incompatibility of Bypass Permission in NAS working Dir,bug|platform:windows|area:permissions
48017,2026-04-14T17:12:50Z,[BUG] Gmail MCP: create_draft produces phantom drafts on threads — likely missing In-Reply-To/References headers,bug|external|area:mcp
48016,2026-04-14T17:08:03Z,[BUG] Cannot paste authentication code in WSL Ubuntu - keyboard input intercepted,bug|area:tui|area:auth|platform:wsl
48015,2026-04-14T17:06:18Z,"[BUG] PreToolUse hooks: exit code 2 (block) shows misleading ""error"" prefix — add a clean ""info"" block mode",enhancement|area:hooks
48013,2026-04-14T17:01:15Z,ExitPlanMode should restore the permission mode that was active before EnterPlanMode,bug|platform:macos|platform:vscode|area:permissions
48012,2026-04-14T17:00:24Z,[BUG],duplicate|platform:macos|area:tui|area:auth
48011,2026-04-14T16:55:08Z,[FEATURE] Make OAuth/admin base URL configurable like ANTHROPIC_BASE_URL,enhancement|area:auth
48010,2026-04-14T16:50:20Z,[BUG] Endless prompts for permission,bug|platform:linux|area:permissions
48009,2026-04-14T16:47:39Z,[BUG] UserPromptSubmit hooks receive empty stdin on Windows — stdin piping broken,bug|has repro|platform:windows|area:hooks
48008,2026-04-14T16:44:20Z,[BUG] ECONNRESET on streaming connections - Claude Code 2.1.107 (macOS arm64),bug|duplicate|platform:macos|area:networking|api:anthropic
48007,2026-04-14T16:42:31Z,Dispatch shows desktop online but leaves requests on read (no response on target),bug|platform:windows|area:auth|area:cowork|area:desktop
48006,2026-04-14T16:42:25Z,[BUG] Cowork workspace won't finalize setting up,bug|platform:windows|area:cowork
48005,2026-04-14T16:42:24Z,MCP tool calls display generic 'Called <server>' instead of tool name and params since ~2.1.105,duplicate|has repro|platform:macos|area:tui|area:mcp
48004,2026-04-14T16:41:26Z,"Memory files are local-only — no cloud sync, misleading for users coming from Claude.ai",enhancement|memory
48003,2026-04-14T16:36:32Z,Windows MSIX: Claude fails to launch after update (AppX container error 0x80070020),bug|has repro|platform:windows|area:cowork|area:desktop
48002,2026-04-14T16:34:22Z,"Transcript view lacks internal scrolling — unusable via keyboard, relies on terminal backbuffer",enhancement|platform:macos|area:tui
48001,2026-04-14T16:28:08Z,[BUG] Windows: Cowork fails to start - “VM service not running” (app hang / stuck),duplicate|platform:windows|area:cowork|area:desktop
48000,2026-04-14T16:23:02Z,[BUG] M365 connector fails with AADSTS50076 when tenant requires MFA via Conditional Access,bug|platform:windows|area:mcp
47999,2026-04-14T16:20:38Z,[BUG] ClaudeCode 2.1.105 | Windows 10 Pro 22H2 19045.7058 - claude code fails to launch,bug|platform:windows|area:core
47998,2026-04-14T16:19:10Z,[Feature Request] Add SVG-to-PDF conversion and native image generation capabilities,enhancement|platform:macos|area:tools
47996,2026-04-14T16:10:04Z,"Harness hangs indefinitely after Skill tool returns tool_result — no API call, no assistant event, no token usage",bug|has repro|platform:macos|area:core|area:skills
47995,2026-04-14T16:08:37Z,"[BUG] Cowork ""Virtualization not available"" on ASUS TUF FX505DT — SVM Mode locked in BIOS",bug|platform:windows|area:cowork
47994,2026-04-14T16:08:21Z,OAuth login on headless EC2: code paste broken after recent update,duplicate|platform:linux|area:tui|area:auth
47992,2026-04-14T16:05:57Z,Telegram plugin: inbound notifications/claude/channel silently dropped and not delivered to session,bug|duplicate|has repro|platform:macos|area:mcp|area:plugins
47991,2026-04-14T16:05:26Z,[BUG] Nagware is not a feature,bug|platform:windows|area:cost|platform:vscode
47990,2026-04-14T15:59:56Z,"[BUG] Cowork ""Virtualization is not available"" on Windows 11 Education — VM never initializes, no logs created",bug|duplicate|platform:windows|area:cowork
47989,2026-04-14T15:54:26Z,Prompt injection via `<system-warning>` tags embedded in tool output (Cowork mode),bug|area:security|area:cowork
47988,2026-04-14T15:45:59Z,"Claude exhibits 4 anti-patterns: refuses orders without attempting, asserts impossibility without verifying",bug|area:model
47987,2026-04-14T15:45:16Z,"Rewind + ""Summarize from here"" drops pre-rewind messages instead of preserving them",duplicate|platform:macos|area:tui|area:core
47986,2026-04-14T15:43:35Z,"[BUG] white Monitor an Starting Claude on 26.3.1 Tahoe, app version (1.1617.0)",invalid
47985,2026-04-14T15:43:23Z,[Feature Request] Add planModel setting to automatically switch models between plan and execute modes,enhancement|area:model
47984,2026-04-14T15:41:04Z,Feature request: expose `/plugin`-style modal TUI API for user plugins,enhancement|area:tui|area:plugins
47983,2026-04-14T15:40:04Z,Support multi-project workspace with @ mentions (like Cursor),enhancement|area:core
47982,2026-04-14T15:39:00Z,[BUG] Feedback is too easy to mis-apply,duplicate|platform:macos|area:tui
47981,2026-04-14T15:38:37Z,Allow users to customize spinner/loading messages,enhancement|area:tui|area:statusline
47980,2026-04-14T15:37:01Z,[MODEL] Destroyed 39M records when migrating data that was backed up Opus 4.6 1M,bug|platform:windows|model|data-loss
47978,2026-04-14T15:35:41Z,"[BUG] Shell snapshot captures mise functions without `__MISE_EXE` variable, causing infinite fork recursion and OOM",bug|has repro|platform:linux|area:bash|regression
47977,2026-04-14T15:35:30Z,"DXT ${__dirname} resolves to MSIX-virtualized path, breaking external process spawns",bug|has repro|platform:windows|area:mcp
47976,2026-04-14T15:34:34Z,[Bug] Read on mislabeled .png causes unrecoverable 'Could not process image' session corruption,bug|has repro|platform:linux|area:tools|area:core
47975,2026-04-14T15:32:20Z,Microsoft 365 MCP connector: redirect URI mismatch (AADSTS50011),bug|platform:windows|area:mcp
47974,2026-04-14T15:31:34Z,You've hit your limit · resets 9pm (Europe/London),bug|platform:linux|area:cost|area:api|platform:vscode
47973,2026-04-14T15:30:19Z,[BUG]  enter key regression causing new line,bug|platform:windows|area:tui|regression
47972,2026-04-14T15:29:25Z,I need more information to generate a GitHub issue title. Could you please provide the actual bug report or describe the issue you're experiencing with Claude Code?,bug|platform:windows|platform:vscode|area:agents
47971,2026-04-14T15:28:57Z,[BUG] Cowork VM timeout on Windows 11 Home Build 26200 — all prerequisites met,bug|duplicate|platform:windows|area:cowork
47970,2026-04-14T15:28:10Z,[FEATURE] Add intermediate view mode between default and verbose for MCP tool calls,enhancement|area:tui|area:mcp
47969,2026-04-14T15:27:17Z,"[BUG] Desktop app: ""Bypass permissions mode"" still shows permission dialogs for Edit/Bash actions",bug|platform:windows|area:permissions|area:desktop
47968,2026-04-14T15:24:36Z,Feature Request: API for syncing skills between Claude Code and Claude Chat/Projects,enhancement|area:api|area:skills
47967,2026-04-14T15:17:55Z,[BUG] Using the same prompt and model at different times results in higher token consumption during later executions.,bug|platform:macos|area:cost|needs-info|needs-repro
47966,2026-04-14T15:13:22Z,Feature request: plugin cache garbage collection (claude plugin gc),enhancement|area:plugins
47965,2026-04-14T15:11:10Z,[DOCS],invalid
47964,2026-04-14T15:09:48Z,Alternatives to free credits,invalid
47963,2026-04-14T15:09:16Z,关于免费额度的替代方案,invalid
47962,2026-04-14T15:07:20Z,"[BUG] IME pre-edit buffer cleared by UI redraws during candidate selection — McBopomofo / 小麥注音, macOS, iTerm2",bug|has repro|platform:macos|area:tui|area:a11y
47961,2026-04-14T15:01:19Z,"[BUG] Max 5x gift card subscription silently deactivated — Invoice WBANGNQG-0001 — Stripe shows $0 payment, subscription record lost",invalid
47960,2026-04-14T14:58:22Z,/login OAuth flow: unable to paste code in WSL2 terminal,bug|area:tui|area:auth|platform:wsl
47959,2026-04-14T14:55:42Z,Auto Dream deletes memory files without user consent — 23 files lost in one day,bug|has repro|platform:macos|memory|data-loss
47958,2026-04-14T14:54:17Z,"[BUG] Claude Desktop (Claude Code Desktop) sessions become unresponsive (""Mustering..."" forever) while other sessions work fine",bug|platform:macos|area:desktop
47957,2026-04-14T14:54:14Z,[Bug] Token caching causing unexpected consumption and bill increases,bug|platform:macos|area:cost|needs-repro
47956,2026-04-14T14:50:14Z,[BUG] Claude Code Bug Report: Figma MCP Tools Not Loading,bug|api:bedrock|platform:macos|area:mcp
47955,2026-04-14T14:45:40Z,Use Linux system keychain (libsecret) for sensitive plugin credentials,enhancement|platform:linux|area:security|area:plugins
47954,2026-04-14T14:40:47Z,[BUG]在输入验证码时粘贴不出来,duplicate|platform:windows|area:tui|area:auth
47952,2026-04-14T14:39:03Z,[Feature Request] Add granular session sharing controls with selective opt-in and sharing preferences,enhancement|user-experience
47951,2026-04-14T14:39:00Z,"Desktop app fails at session init with ""tools.122.custom.input_schema: int too big to convert"" — CLI works with identical config",bug|platform:macos|area:mcp|area:plugins|area:desktop
47950,2026-04-14T14:35:11Z,"[BUG] Cowork: ""Virtualization not available"" — VM service not responding, no logs generated (Windows 11 Pro)",bug|platform:windows|area:cowork
47949,2026-04-14T14:31:40Z,/login command not registered when scheduled task fires during startup with expired auth,bug|platform:macos|area:auth
47948,2026-04-14T14:31:23Z,[FEATURE] Raise default thinking budget / auto-escalate on diagnostic prompts,enhancement|platform:windows|area:model
47947,2026-04-14T14:30:36Z,[Bug] Excessive token usage on prompt messages (42k tokens for 3 prompts),bug|platform:macos|area:cost
47946,2026-04-14T14:27:24Z,"Channels stopped working - 'not currently available' (tengu_harbor flag off) - Claude Max, production use",bug|duplicate|platform:macos|area:plugins
47945,2026-04-14T14:25:17Z,VS Code extension: search/lookup sessions by UUID in session picker,enhancement|area:ide|platform:vscode
47944,2026-04-14T14:19:09Z,Buddy feature is gone,bug|platform:macos|area:cli|needs-repro
47943,2026-04-14T14:18:30Z,Claude Code CLI fails on Windows when username path contains spaces,bug|platform:windows|area:cli
47942,2026-04-14T14:18:30Z,[Bug] Unintended TRUNCATE command executed instead of DELETE with WHERE clause,bug|platform:windows|area:tools|area:model|data-loss
47941,2026-04-14T14:17:35Z,[BUG] claude survey question can't be responded to,bug|platform:macos|area:tui
47940,2026-04-14T14:13:14Z,[BUG] Read tool renders same image content across different cached image files,bug|has repro|platform:macos|area:tools
47939,2026-04-14T14:10:19Z,[BUG] Cowork April 9-10 plugin migration dropped Gamma connector — Gamma tools unavailable in all Cowork sessions,bug|platform:windows|area:mcp|area:cowork|regression|area:plugins
47937,2026-04-14T14:06:53Z,/mcp dialog unresponsive after completing OAuth authentication in browser — unable to press Enter to continue,bug|has repro|platform:linux|area:tui|area:mcp
47936,2026-04-14T14:02:42Z,[BUG] (Async) Subagents stopping early,bug|has repro|platform:linux|area:agent-sdk|api:anthropic
47935,2026-04-14T14:02:17Z,[Feature Request] First-class persistent roadmap / work-item system,enhancement|area:tui|area:tools|area:core
47934,2026-04-14T13:56:36Z,[FEATURE] whoami for claude code - show what account is in use,enhancement|area:auth|area:cli
47933,2026-04-14T13:55:36Z,Remote trigger cron schedule never fires — manual runs work fine,bug|has repro|area:agents
47932,2026-04-14T13:52:55Z,[Feature Request] Restore auto-compacting and allow agent state persistence before context limit,enhancement|platform:macos|area:core
47931,2026-04-14T13:51:36Z,"[BUG] Session silently terminates after parallel tool_results on Windows v2.1.107 — no error, no API retry, JSONL just ends",bug|has repro|platform:windows|area:tools|area:core|area:mcp
47930,2026-04-14T13:50:41Z,"[BUG] Agent Teams: lead session loops on idle notifications and duplicate task_assignment echoes, burns ~13–22% of input tokens on no-op acks",bug|has repro|platform:macos|area:cost|area:agents
47929,2026-04-14T13:48:50Z,[BUG] Custom skills are not recognized on Claude Code on the web,bug|area:claude-code-web|platform:web|area:skills
47928,2026-04-14T13:43:21Z,typescript-lsp plugin reports diagnostics for files that no longer exist after branch switch,bug|duplicate|platform:macos|area:lsp|area:plugins
47927,2026-04-14T13:42:13Z,[BUG] Subagents cannot invoke the Agent tool in 2.1.107 despite declaring it in frontmatter (nested subagent spawning broken),bug|has repro|platform:macos|area:agents|regression|api:anthropic
47926,2026-04-14T13:39:09Z,[FEATURE] Allow resuming Claude Code sessions across devices,duplicate|area:tui
47925,2026-04-14T13:38:42Z,"[BUG] Claude Desktop 1.2278.0 crashes on launch - macOS Tahoe 26.4.1 / Apple M5 (Mac17,2)",invalid
47923,2026-04-14T13:31:27Z,"[BUG] Windows: ""unable to find CLAUDE_CODE_GIT_BASH_PATH"" despite Git Bash being installed and accessible",bug|platform:windows|area:installation
47922,2026-04-14T13:31:01Z,[BUG] Subagent 'Warmup' drains 99%+ of subscription input tokens (regression since 2026-04-09; ref #17457 closed NOT_PLANNED),bug|has repro|platform:linux|area:cost|area:agents|regression
47921,2026-04-14T13:24:50Z,CCR scheduled triggers hang indefinitely — no output produced,bug|area:agents|platform:web
47920,2026-04-14T13:24:17Z,[Bug] Rapid token consumption - investigate token usage efficiency,bug|platform:windows|area:cost|platform:vscode|needs-info
47919,2026-04-14T13:10:33Z,[BUG] keep getting Too many verification attempts. Wait and try again later,invalid
47918,2026-04-14T13:09:43Z,[BUG] API Error: Stream idle timeout - partial response received,bug|duplicate|platform:macos|api:anthropic
47917,2026-04-14T13:06:30Z,You've hit your limit · resets 7pm (Europe/Rome),question|platform:windows|area:cost
47916,2026-04-14T13:05:28Z,[BUG] ultraplan sent to wrong codebase,bug|platform:macos|area:claude-code-web
47915,2026-04-14T13:05:21Z,Feature Request: Native Support for .DWG / .DXF File Formats — Enabling AI-Assisted Architectural and Engineering Workflows,invalid
47914,2026-04-14T13:02:50Z,Channel notifications dropped after idle — messages lost between turns,duplicate|platform:linux|area:mcp|area:plugins
47913,2026-04-14T13:01:21Z,[BUG] Running in `screen` leaves rather corrup output,bug|platform:linux|area:tui
47912,2026-04-14T13:00:12Z,[FEATURE] Dedicated AWS profile config for Bedrock requests,enhancement|api:bedrock
47911,2026-04-14T12:57:36Z,insights: role attribution bug — Claude errors attributed to user in friction analysis,bug|platform:wsl|area:skills
47910,2026-04-14T12:54:54Z,[BUG],bug|duplicate|platform:windows|area:cowork
47909,2026-04-14T12:54:14Z,"[Bug] File descriptor leak causes ENOENT on subprocess spawn, ""directory no longer exists"" on Bash cwd",duplicate|has repro|platform:macos|area:core
47907,2026-04-14T12:46:59Z,[FEATURE] Per-project agent configuration (whitelist/blacklist),enhancement|area:agents
47906,2026-04-14T12:41:27Z,[FEATURE] Terminal UI: Navigate and Annotate Response Blocks with Emoji Reactions,enhancement|area:tui
47905,2026-04-14T12:34:13Z,[BUG],bug|platform:macos|area:tools|platform:vscode|area:agents
47904,2026-04-14T12:32:31Z,"ExitPlanMode resets Write tool's Read-tracking state, causing file update failures and duplicate side effects",bug|platform:windows|area:tools
47903,2026-04-14T12:31:05Z,[BUG] Model silently stops mid-task after tool call without generating follow-up,bug|platform:windows|area:tools|platform:vscode
47901,2026-04-14T12:24:52Z,[BUG] [MODEL] Opus 4.6 and 4.5 systematic failure to read before acting — four+ incidents in one day,bug|platform:linux|area:model|api:anthropic
47900,2026-04-14T12:23:15Z,[Bug] WinGet update notification shows before package is available in repository,bug|platform:windows|area:packaging
47899,2026-04-14T12:21:08Z,"Scheduled tasks dispatch but never execute — sessions stuck ""Running"" with zero turns, causing permanent skip-cascade",bug|platform:windows|area:cowork
47898,2026-04-14T12:09:17Z,Agent tool not available at runtime for plugin-defined agent types despite tools: frontmatter declaration,bug|platform:macos|area:agents|area:plugins
47897,2026-04-14T12:08:32Z,Rules files loaded twice when using built-in worktree isolation (.claude/worktrees/),bug|duplicate|platform:macos|area:core
47896,2026-04-14T12:01:32Z,"[BUG] Premium Team plan - degraded from 1M to 200k token since outage on Apr 13, 2026",bug|platform:macos|area:auth|regression|api:anthropic
47894,2026-04-14T11:58:01Z,[Bug] Chat halts on API error with no recovery mechanism,bug|platform:macos|area:core
47893,2026-04-14T11:43:35Z,"[BUG] Virtualization is not available Claude's workspace requires Virtual Machine Platform, but the virtualization service isn't responding. Restart your computer to resolve this.",bug|platform:windows|needs-info|area:sandbox
47891,2026-04-14T11:40:34Z,Claude Code ran terraform apply -auto-approve on production infrastructure despite plan showing destructive changes,bug|area:model
47889,2026-04-14T11:35:47Z,[MODEL] Sonnet 4.6,bug|area:bash|model|api:anthropic|data-loss
47888,2026-04-14T11:35:01Z,[BUG] Can't input Bedrock API key (bearer token) via copy/paste while executing  /setup-bedrock,bug|platform:windows|api:bedrock|area:tui|regression
47887,2026-04-14T11:32:48Z,[BUG] Cannot paste OAuth auth code in v2.1.107 (regression from v2.1.104),duplicate|platform:linux|area:tui|area:auth|regression
47886,2026-04-14T11:23:21Z,[Bug] Claude API service degradation - inference quality issues,bug|area:model
47885,2026-04-14T11:19:40Z,[FEATURE] Support user-level CLAUDE.md / custom instructions for claude.ai/code web sessions,enhancement|area:claude-code-web
47884,2026-04-14T11:17:41Z,Feature request: /name command to rename active session,enhancement|area:tui
47883,2026-04-14T11:14:24Z,Bare /loop ignores .claude/loop.md — shows usage prompt instead,bug|platform:wsl|area:skills
47882,2026-04-14T11:07:06Z,[BUG]Remote-control session unresumable on iOS app after cost limit expires,bug|platform:macos|area:core|platform:ios
47881,2026-04-14T11:06:08Z,[FEATURE] Disable claude.ai-integrated MCPs per surface (Claude Code vs Chat/Cowork),enhancement|area:cost|area:mcp
